FU,capability,implementation,corner,target_period_ns,achieved_delay_ns,fmax_ghz,cell_area_um2,total_area_um2,dynamic_power_mw,leakage_power_uw,energy_per_operation_pj,timing_met,activity_source,fixed_bank_definition
barrel_64,64,fixed,one_ghz,1.000000,0.999814,1.000186035,315.239997,1056.247531,1.222300,0.119859,1.222073,true,uniform_synthetic,fixed_bank_component
barrel_64,64,fixed,two_ghz,0.500000,0.499981,2.000076003,643.977600,1295.628133,1.511600,0.341512,0.755771,true,uniform_synthetic,fixed_bank_component
cmp_16x4,16x4,fixed,one_ghz,1.000000,0.994993,1.005032196,97.902000,259.100837,0.259626,0.026717,0.258326,true,uniform_synthetic,fixed_bank_component
cmp_16x4,16x4,fixed,two_ghz,0.500000,0.499773,2.000908412,119.436000,285.682330,0.293096,0.046123,0.146481,true,uniform_synthetic,fixed_bank_component
cmp_32x2,32x2,fixed,one_ghz,1.000000,0.999888,1.000112013,119.524800,261.820143,0.233334,0.042034,0.233308,true,uniform_synthetic,fixed_bank_component
cmp_32x2,32x2,fixed,two_ghz,0.500000,0.499570,2.001721480,102.475200,232.376097,0.246280,0.040047,0.123034,true,uniform_synthetic,fixed_bank_component
cmp_64,64,fixed,one_ghz,1.000000,0.999518,1.000482232,92.929200,228.256040,0.213280,0.027846,0.213177,true,uniform_synthetic,fixed_bank_component
cmp_64,64,fixed,two_ghz,0.500000,0.499970,2.000120007,121.744800,268.792457,0.246457,0.049364,0.123221,true,uniform_synthetic,fixed_bank_component
fp_cmp_16x4,FP16x4,fixed,one_ghz,1.000000,0.999507,1.000493243,109.312800,285.680395,0.248082,0.033871,0.247960,true,uniform_synthetic,fixed_bank_component
fp_cmp_16x4,FP16x4,fixed,two_ghz,0.500000,0.499950,2.000200020,139.193999,323.391969,0.284245,0.054822,0.142108,true,uniform_synthetic,fixed_bank_component
fp_cmp_32x2,FP32x2,fixed,one_ghz,1.000000,0.998577,1.001425028,122.055599,305.450452,0.252584,0.037621,0.252225,true,uniform_synthetic,fixed_bank_component
fp_cmp_32x2,FP32x2,fixed,two_ghz,0.500000,0.499775,2.000900405,156.554400,355.015437,0.280156,0.058680,0.140015,true,uniform_synthetic,fixed_bank_component
fp_cmp_64,FP64,fixed,one_ghz,1.000000,0.999163,1.000837701,111.133199,275.210007,0.230425,0.038427,0.230232,true,uniform_synthetic,fixed_bank_component
fp_cmp_64,FP64,fixed,two_ghz,0.500000,0.499939,2.000244030,153.402000,363.911792,0.313576,0.056426,0.156769,true,uniform_synthetic,fixed_bank_component
fp_minmax_16x4,FP16x4,fixed,one_ghz,1.000000,0.998930,1.001071146,106.737599,290.222041,0.291678,0.030448,0.291366,true,uniform_synthetic,fixed_bank_component
fp_minmax_16x4,FP16x4,fixed,two_ghz,0.500000,0.499750,2.001000500,135.997199,320.628759,0.326736,0.059207,0.163286,true,uniform_synthetic,fixed_bank_component
fp_minmax_32x2,FP32x2,fixed,one_ghz,1.000000,0.999745,1.000255065,127.871999,330.835095,0.326527,0.044530,0.326443,true,uniform_synthetic,fixed_bank_component
fp_minmax_32x2,FP32x2,fixed,two_ghz,0.500000,0.499935,2.000260034,176.756399,388.956935,0.371072,0.077429,0.185512,true,uniform_synthetic,fixed_bank_component
fp_minmax_64,FP64,fixed,one_ghz,1.000000,0.999633,1.000367135,133.643998,332.255134,0.354459,0.050114,0.354329,true,uniform_synthetic,fixed_bank_component
fp_minmax_64,FP64,fixed,two_ghz,0.500000,0.499939,2.000244030,159.928798,369.373074,0.366123,0.068844,0.183039,true,uniform_synthetic,fixed_bank_component
minmax_16x4,16x4,fixed,one_ghz,1.000000,0.998712,1.001289661,95.992799,236.623518,0.334208,0.036924,0.333777,true,uniform_synthetic,fixed_bank_component
minmax_16x4,16x4,fixed,two_ghz,0.500000,0.499723,2.001108614,99.589200,229.996865,0.259323,0.034325,0.129590,true,uniform_synthetic,fixed_bank_component
minmax_32x2,32x2,fixed,one_ghz,1.000000,0.999315,1.000685470,138.128398,301.769498,0.368215,0.064155,0.367962,true,uniform_synthetic,fixed_bank_component
minmax_32x2,32x2,fixed,two_ghz,0.500000,0.499239,2.003048640,111.088801,258.318871,0.289298,0.040123,0.144429,true,uniform_synthetic,fixed_bank_component
minmax_64,64,fixed,one_ghz,1.000000,0.999309,1.000691478,103.407600,237.779038,0.259136,0.034749,0.258957,true,uniform_synthetic,fixed_bank_component
minmax_64,64,fixed,two_ghz,0.500000,0.498328,2.006710440,130.491600,278.557137,0.292136,0.053417,0.145580,true,uniform_synthetic,fixed_bank_component
mult_16x4,16x4,fixed,one_ghz,1.000000,0.999969,1.000031001,600.021581,1151.137355,1.714100,0.252904,1.714047,true,uniform_synthetic,fixed_bank_component
mult_16x4,16x4,fixed,two_ghz,0.500000,0.499835,2.000660218,765.544791,1391.534065,2.638900,0.377487,1.319015,true,uniform_synthetic,fixed_bank_component
mult_32x2,32x2,fixed,one_ghz,1.000000,0.999997,1.000003000,1171.582780,2706.759031,4.582900,0.445226,4.582886,true,uniform_synthetic,fixed_bank_component
mult_32x2,32x2,fixed,two_ghz,0.500000,0.499983,2.000068002,1827.592795,2955.782746,5.190400,1.184800,2.595112,true,uniform_synthetic,fixed_bank_component
mult_64,64,fixed,one_ghz,1.000000,0.999914,1.000086007,2256.940759,5240.186795,9.064500,1.060200,9.063720,true,uniform_synthetic,fixed_bank_component
mult_64,64,fixed,two_ghz,0.500000,0.522399,1.914245625,3708.199196,6581.115608,11.944200,2.551600,6.239638,false,uniform_synthetic,fixed_bank_component
rounding_16x4,FP16x4,fixed,one_ghz,1.000000,0.999953,1.000047002,269.596801,601.522213,0.431849,0.102300,0.431829,true,uniform_synthetic,fixed_bank_component
rounding_16x4,FP16x4,fixed,two_ghz,0.500000,0.499938,2.000248031,479.875198,876.912410,0.629018,0.262263,0.314470,true,uniform_synthetic,fixed_bank_component
rounding_32x2,FP32x2,fixed,one_ghz,1.000000,0.999938,1.000062004,456.742800,939.373096,0.576233,0.200554,0.576197,true,uniform_synthetic,fixed_bank_component
rounding_32x2,FP32x2,fixed,two_ghz,0.500000,0.499831,2.000676229,774.779994,1304.878256,0.763716,0.454073,0.381729,true,uniform_synthetic,fixed_bank_component
rounding_64,FP64,fixed,one_ghz,1.000000,0.999956,1.000044002,613.252799,1197.592133,0.493619,0.302167,0.493597,true,uniform_synthetic,fixed_bank_component
rounding_64,FP64,fixed,two_ghz,0.500000,0.597832,1.672710728,1384.125595,2090.704429,0.894544,0.965000,0.534787,false,uniform_synthetic,fixed_bank_component
abs_16x4,16x4,fixed,feasible,0.625000,0.624910,1.600230433,83.916001,178.319878,0.096659,0.029295,0.060403,true,uniform_synthetic,feasible_family_target
abs_32x2,32x2,fixed,feasible,0.625000,0.622239,1.607099523,129.914402,316.741538,0.172223,0.047553,0.107164,true,uniform_synthetic,feasible_family_target
abs_64,64,fixed,feasible,0.625000,0.624976,1.600061442,146.298001,332.816268,0.220915,0.060439,0.138067,true,uniform_synthetic,feasible_family_target
abs_a3,64/32x2/16x4,decomposable,feasible,0.625000,0.624905,1.600243237,196.958401,383.679652,0.289833,0.100665,0.181118,true,uniform_synthetic,feasible_family_target
addsub_16x4,16x4,fixed,feasible,0.625000,0.624966,1.600087045,116.372400,223.963008,0.261424,0.051259,0.163381,true,uniform_synthetic,feasible_family_target
addsub_32x2,32x2,fixed,feasible,0.625000,0.624834,1.600425073,285.758403,628.695297,1.013500,0.104209,0.633269,true,uniform_synthetic,feasible_family_target
addsub_64,64,fixed,feasible,0.625000,0.623971,1.602638584,190.964401,430.619925,0.488401,0.071167,0.304748,true,uniform_synthetic,feasible_family_target
addsub_d4,64/32x2/16x4,decomposable,feasible,0.625000,0.624494,1.601296410,228.216001,438.302542,0.590859,0.105284,0.368988,true,uniform_synthetic,feasible_family_target
barrel_16x4,16x4,fixed,feasible,0.625000,0.624951,1.600125450,253.523997,644.078778,0.846311,0.121105,0.528903,true,uniform_synthetic,feasible_family_target
