corner,separate_area_um2,combined_area_um2,area_saving_percent,separate_power_mw,combined_power_mw,power_saving_percent,separate_leakage_uw,combined_leakage_uw,leakage_saving_percent,separate_energy_pj,combined_energy_pj,energy_saving_percent,separate_fmax_ghz,combined_fmax_ghz,frequency_change_percent,comparison_valid,notes
one_ghz,308.269199,440.181600,-42.791301,0.990697,1.098200,-10.851249,0.120060,0.226841,-88.939863,0.990292,1.098011,-10.877532,1.000409167,1.000172030,-0.023704,true,separate = decomposable AddSub d4 + decomposable integer MinMax m4; combined reuses one segmented AddSub chain
feasible,354.667201,602.241595,-69.804705,0.900960,1.294000,-43.624578,0.149648,0.372583,-148.972856,0.562840,0.807919,-43.543422,1.600740182,1.601645210,0.056538,true,separate = decomposable AddSub d4 + decomposable integer MinMax m4; combined reuses one segmented AddSub chain
