FU,corner,baseline,fixed_bank_definition,fixed_area_um2,decomposable_area_um2,area_saving_percent,fixed_power_mw,decomposable_power_mw,power_saving_percent,fixed_leakage_uw,decomposable_leakage_uw,leakage_saving_percent,fixed_energy_pj,decomposable_energy_pj,energy_saving_percent,fixed_fmax_ghz,decomposable_fmax_ghz,frequency_change_percent,comparison_valid,notes
Mult,maxspeed,Karatsuba fixed bank,karatsuba_fixed_64 + karatsuba_fixed_32x2 + karatsuba_fixed_16x4,9228.362374,5511.727178,40.274049,34.461800,23.361200,32.211318,6.047039,3.619200,40.149220,41.666729,26.542762,36.297466,0.827081972,0.880134485,6.414420,false,"maximum-speed stress comparison only; use area/leakage/Fmax, not raw power as equal-frequency savings"
Mult,maxspeed,DesignWare fixed bank,designware_fixed_64 + designware_fixed_32x2 + designware_fixed_16x4,7486.150821,5511.727178,26.374350,23.570400,23.361200,0.887554,5.213939,3.619200,30.586069,12.674629,26.542762,-109.416479,1.859652059,0.880134485,-52.672088,false,"maximum-speed stress comparison only; use area/leakage/Fmax, not raw power as equal-frequency savings"
Mult,one_ghz,Karatsuba fixed bank,karatsuba_fixed_64 + karatsuba_fixed_32x2 + karatsuba_fixed_16x4,7134.325129,5206.965570,27.015303,28.650800,21.373300,25.400687,4.072934,3.278900,19.495381,28.650657,21.372018,25.404790,1.000005000,1.000060004,0.005500,true,valid 1 GHz equal-target comparison; packed 32x2/16x4 counted once; synthetic all-active bank power
Mult,one_ghz,DesignWare fixed bank,designware_fixed_64 + designware_fixed_32x2 + designware_fixed_16x4,4028.545120,5206.965570,-29.251762,15.361500,21.373300,-39.135501,1.758330,3.278900,-86.478079,15.361454,21.372018,-39.127570,1.000003000,1.000060004,0.005700,true,valid 1 GHz equal-target comparison; packed 32x2/16x4 counted once; synthetic all-active bank power
