FU,family,from_tier,to_tier,capability,corner,previous_area_um2,new_area_um2,area_overhead_percent,previous_power_mw,new_power_mw,power_overhead_percent,previous_leakage_uw,new_leakage_uw,leakage_overhead_percent,previous_fmax_ghz,new_fmax_ghz,frequency_change_percent,comparison_valid,notes
fp_cmp_rev64_32,fp_cmp,rev64,rev64_32,FP64/FP32x2,one_ghz,178.709999,214.451999,20.00000011191315,0.6412424,0.5627037,-12.247895647574142,0.07431919999999999,0.0910137,22.463239647358982,1.0010561142,1.00017302993,-0.08821526160956304,True,marginal capability overhead; uniform synthetic activity
fp_cmp_rev64_32_16,fp_cmp,rev64_32,rev64_32_16,FP64/FP32x2/FP16x4,one_ghz,214.451999,279.364799,30.269151279862868,0.5627037,0.7465897,32.679010285519716,0.0910137,0.12600209999999998,38.44300363571635,1.00017302993,1.00062238712,0.044927945120795086,True,marginal capability overhead; uniform synthetic activity
fp_cmp_rev64_32,fp_cmp,rev64,rev64_32,FP64/FP32x2,two_ghz,243.6228,338.905199,39.110624703434965,0.4886461,0.622736,27.441107173473792,0.11474319999999999,0.18654409999999996,62.5752985797851,2.00105255364,2.00065221262,-0.020006522031215872,True,marginal capability overhead; uniform synthetic activity
fp_cmp_rev64_32_16,fp_cmp,rev64_32,rev64_32_16,FP64/FP32x2/FP16x4,two_ghz,338.905199,459.406798,35.55613763245928,0.622736,0.8137771,30.67770291102491,0.18654409999999996,0.2613452,40.098346718014696,2.00065221262,2.00034405918,-0.015402649098927728,True,marginal capability overhead; uniform synthetic activity
fp_minmax_rev64_32,fp_minmax,rev64,rev64_32,FP64/FP32x2,one_ghz,213.386397,268.220399,25.697046658508416,0.6842648,0.7249982,5.952870876888602,0.09062690000000001,0.12154149999999998,34.11194689435474,1.00085272652,1.00096192441,0.010910485339812566,True,marginal capability overhead; uniform synthetic activity
fp_minmax_rev64_32_16,fp_minmax,rev64_32,rev64_32_16,FP64/FP32x2/FP16x4,one_ghz,268.220399,306.0048,14.08707210222292,0.7249982,0.7876427,8.640642142283937,0.12154149999999998,0.1324421,8.968623885668702,1.00096192441,1.00065943457,-0.030219914726370773,True,marginal capability overhead; uniform synthetic activity
fp_minmax_rev64_32,fp_minmax,rev64,rev64_32,FP64/FP32x2,two_ghz,262.3152,330.9576,26.167907921462426,0.5873271,0.6572164,11.899553076982153,0.11760259999999999,0.17568440000000002,49.38819379843646,2.0037470069,2.00046410767,-0.16383801042222298,True,marginal capability overhead; uniform synthetic activity
fp_minmax_rev64_32_16,fp_minmax,rev64_32,rev64_32_16,FP64/FP32x2/FP16x4,two_ghz,330.9576,434.986798,31.432787160651397,0.6572164,0.8950821999999999,36.19291910548792,0.17568440000000002,0.2525909,43.775372201515886,2.00046410767,2.00080832656,0.017206951560902902,True,marginal capability overhead; uniform synthetic activity
